Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    policy_gradient_loss | -0.0258     |
|    std                  | 11          |
|    value_loss           | 0.116       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.219263    |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 269         |
|    time_elapsed         | 1273        |
|    total_timesteps      | 1101824     |
| train/                  |             |
|    approx_kl            | 0.013968773 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.3       |
|    explained_variance   | 0.607       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.667      |
|    n_updates            | 5175        |
|    policy_gradient_loss | -0.0251     |
|    std                  | 11          |
|    value_loss           | 0.138       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0816137   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 270         |
|    time_elapsed         | 1277        |
|    total_timesteps      | 1105920     |
| train/                  |             |
|    approx_kl            | 0.009733928 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.3       |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.657      |
|    n_updates            | 5190        |
|    policy_gradient_loss | -0.0226     |
|    std                  | 11          |
|    value_loss           | 0.139       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1406785   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 271         |
|    time_elapsed         | 1282        |
|    total_timesteps      | 1110016     |
| train/                  |             |
|    approx_kl            | 0.012998421 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.4       |
|    explained_variance   | 0.504       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.617      |
|    n_updates            | 5205        |
|    policy_gradient_loss | -0.0225     |
|    std                  | 11.1        |
|    value_loss           | 0.297       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1024472   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 272         |
|    time_elapsed         | 1287        |
|    total_timesteps      | 1114112     |
| train/                  |             |
|    approx_kl            | 0.014872735 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.4       |
|    explained_variance   | 0.71        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.686      |
|    n_updates            | 5220        |
|    policy_gradient_loss | -0.0259     |
|    std                  | 11.1        |
|    value_loss           | 0.112       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0384517   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 273         |
|    time_elapsed         | 1291        |
|    total_timesteps      | 1118208     |
| train/                  |             |
|    approx_kl            | 0.017374625 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.5       |
|    explained_variance   | 0.652       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.649      |
